"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu May 28 14:45:25 CST 2026","Thu May 28 14:45:26 CST 2026","186","localLife API Test Suite","Blog Controller Tests","com.zgdz.controller.BlogControllerTest","com.zgdz.controller.BlogControllerTest","testQueryBlogLikes_ValidBlogId","测试获取笔记点赞用户 - 正常查询",""
"passed","Thu May 28 14:45:24 CST 2026","Thu May 28 14:45:25 CST 2026","130","localLife API Test Suite","User Controller Tests","com.zgdz.controller.UserControllerTest","com.zgdz.controller.UserControllerTest","testSendCode_InvalidPhone","测试发送验证码接口 - 无效手机号格式",""
"passed","Thu May 28 14:45:25 CST 2026","Thu May 28 14:45:25 CST 2026","138","localLife API Test Suite","Shop Controller Tests","com.zgdz.controller.ShopControllerTest","com.zgdz.controller.ShopControllerTest","testQueryShopById_ValidShopId","测试根据ID查询商铺 - 正常查询",""
"passed","Thu May 28 14:45:25 CST 2026","Thu May 28 14:45:25 CST 2026","118","localLife API Test Suite","Shop Controller Tests","com.zgdz.controller.ShopControllerTest","com.zgdz.controller.ShopControllerTest","testQueryShopByType_InvalidTypeId","测试按类型查询商铺 - 无效的类型ID",""
"passed","Thu May 28 14:45:24 CST 2026","Thu May 28 14:45:24 CST 2026","121","localLife API Test Suite","User Controller Tests","com.zgdz.controller.UserControllerTest","com.zgdz.controller.UserControllerTest","testQueryUserById_ValidUserId","测试根据ID查询用户",""
"passed","Thu May 28 14:45:25 CST 2026","Thu May 28 14:45:25 CST 2026","31","localLife API Test Suite","Voucher Order Controller Tests","com.zgdz.controller.VoucherOrderControllerTest","com.zgdz.controller.VoucherOrderControllerTest","testSeckillVoucher_Unauthorized","测试秒杀下单接口 - 未登录访问",""
"passed","Thu May 28 14:45:25 CST 2026","Thu May 28 14:45:25 CST 2026","72","localLife API Test Suite","Voucher Order Controller Tests","com.zgdz.controller.VoucherOrderControllerTest","com.zgdz.controller.VoucherOrderControllerTest","testSeckillVoucher_InvalidVoucherId","测试秒杀下单接口 - 无效的优惠券ID",""
"passed","Thu May 28 14:45:25 CST 2026","Thu May 28 14:45:25 CST 2026","56","localLife API Test Suite","Blog Controller Tests","com.zgdz.controller.BlogControllerTest","com.zgdz.controller.BlogControllerTest","testQueryBlogById_NonExistentBlog","测试根据ID查询笔记 - 不存在的笔记ID",""
"passed","Thu May 28 14:45:25 CST 2026","Thu May 28 14:45:25 CST 2026","77","localLife API Test Suite","Blog Controller Tests","com.zgdz.controller.BlogControllerTest","com.zgdz.controller.BlogControllerTest","testLikeBlog_Success","测试点赞笔记 - 正常点赞",""
"passed","Thu May 28 14:45:24 CST 2026","Thu May 28 14:45:24 CST 2026","88","localLife API Test Suite","User Controller Tests","com.zgdz.controller.UserControllerTest","com.zgdz.controller.UserControllerTest","testSignCount_Success","测试获取签到统计",""
"passed","Thu May 28 14:45:24 CST 2026","Thu May 28 14:45:24 CST 2026","326","localLife API Test Suite","User Controller Tests","com.zgdz.controller.UserControllerTest","com.zgdz.controller.UserControllerTest","testMe_LoggedIn","测试获取当前用户信息 - 已登录",""
"passed","Thu May 28 14:45:26 CST 2026","Thu May 28 14:45:26 CST 2026","86","localLife API Test Suite","Blog Controller Tests","com.zgdz.controller.BlogControllerTest","com.zgdz.controller.BlogControllerTest","testSaveBlog_MissingFields","测试发布笔记 - 缺少必要字段",""
